County,State,Total Population,Population ages 25 to 44,Population ages 45 to 64,Population ages 65 and above,State,County,Tract
San Diego County,California,2489,953,713,296,06,073,018300
San Diego County,California,3196,971,732,545,06,073,018400
San Diego County,California,7057,1831,1934,1204,06,073,018504
San Diego County,California,8823,2473,2288,1032,06,073,018507
San Diego County,California,4762,1658,864,405,06,073,018509
San Diego County,California,3268,1138,693,387,06,073,018510
San Diego County,California,4694,1409,1308,483,06,073,018511
San Diego County,California,3701,366,1024,1851,06,073,018512
San Diego County,California,9391,2726,2117,1147,06,073,018513
San Diego County,California,8310,2042,2602,1056,06,073,018514
San Diego County,California,4814,1292,1333,1061,06,073,018515
San Diego County,California,3914,1287,857,390,06,073,018516
San Diego County,California,4906,1306,1379,835,06,073,018517
San Diego County,California,3381,1123,830,206,06,073,018518
San Diego County,California,5919,1617,1353,635,06,073,018519
San Diego County,California,4949,1285,1481,520,06,073,018601
San Diego County,California,6645,2034,1400,410,06,073,018603
San Diego County,California,3224,1021,736,545,06,073,018608
San Diego County,California,6342,2217,1513,469,06,073,018609
San Diego County,California,8021,2305,1771,662,06,073,018610
San Diego County,California,8658,2209,2185,951,06,073,018611
San Diego County,California,3939,1162,982,372,06,073,018612
San Diego County,California,3731,1096,723,276,06,073,018613
San Diego County,California,6095,1780,1292,1383,06,073,018614
San Diego County,California,40616,10602,217,32,06,073,018700
San Diego County,California,3698,623,1257,1060,06,073,018801
San Diego County,California,8141,1459,2640,2611,06,073,018802
San Diego County,California,4779,1035,1404,1232,06,073,018803
San Diego County,California,5016,1456,1113,815,06,073,018903
San Diego County,California,6266,1819,1317,749,06,073,018904
San Diego County,California,6836,1851,1371,628,06,073,018905
San Diego County,California,6290,1709,1397,613,06,073,018906
San Diego County,California,6578,1130,2084,1742,06,073,019001
San Diego County,California,1692,404,545,320,06,073,019002
San Diego County,California,7446,2104,1395,671,06,073,019101
San Diego County,California,5351,1059,1849,1088,06,073,019103
San Diego County,California,6680,1444,1882,1662,06,073,019105
San Diego County,California,8976,1826,2874,1170,06,073,019106
San Diego County,California,1885,359,564,365,06,073,019107
San Diego County,California,2717,689,786,488,06,073,019203
San Diego County,California,6642,1933,1508,907,06,073,019205
San Diego County,California,6301,1782,1145,538,06,073,019206
San Diego County,California,9297,2734,2371,1530,06,073,019207
San Diego County,California,3213,634,1306,576,06,073,019208
San Diego County,California,7146,1839,2550,830,06,073,019301
San Diego County,California,7638,2023,2098,1204,06,073,019302
